timestamp,deviceType,deviceName,consumption,cost
2025-09-09T00:30,electronics,3D Printer 6MD,1.364,0.382
2025-09-09T02:30,heating,Boiler 9L9,2.796,0.783
2025-09-09T02:45,heating,Boiler PZK,1.582,0.443
2025-09-09T03:45,cooling,Evaporator PEC,4.27,1.196
2025-09-09T04:15,lighting,LED Strip 9NG,0.953,0.267
2025-09-09T05:30,lighting,Panel Light ZLD,0.992,0.278
2025-09-09T08:45,electronics,CNC Controller GVP,1.01,0.283
2025-09-09T09:30,heating,Radiator 4BH,2.78,0.778
2025-09-09T12:45,electronics,Switch PBQ,0.547,0.153
2025-09-09T14:00,appliances,Microwave Z2M,2.419,0.677
2025-09-09T14:00,appliances,Dishwasher EIZ,1.94,0.543
2025-09-09T15:00,cooling,Chiller FE3,1.467,0.411
2025-09-09T15:45,lighting,Downlight LOJ,0.82,0.23
2025-09-09T21:30,cooling,Chiller R1B,4.464,1.25
2025-09-09T22:15,electronics,CNC Controller 0NM,1.056,0.296
2025-09-10T03:45,heating,Radiator H76,1.641,0.459
2025-09-10T07:45,electronics,Switch UJS,0.592,0.166
2025-09-10T10:45,heating,Radiator IJM,3.289,0.921
2025-09-10T11:00,appliances,Dishwasher S88,2.152,0.603
2025-09-10T11:30,heating,Radiator 6PA,3.171,0.888
2025-09-10T16:00,appliances,Refrigerator 8I5,1.649,0.462
2025-09-10T17:15,cooling,Cooling Unit 33I,1.698,0.475
2025-09-10T18:45,electronics,Switch FTO,1.59,0.445
2025-09-10T23:00,heating,Radiator 017,3.117,0.873
2025-09-11T03:45,lighting,Panel Light 97K,0.425,0.119
2025-09-11T04:30,lighting,Downlight 4GQ,0.941,0.263
2025-09-11T05:15,cooling,AC Unit KLK,2.168,0.607
2025-09-11T07:30,heating,Water Heater B4X,3.526,0.987
2025-09-11T07:30,appliances,Refrigerator 276,1.526,0.427
2025-09-11T09:00,electronics,Router SF3,1.128,0.316
2025-09-11T09:30,lighting,Track Light ONA,1.066,0.298
2025-09-11T11:15,heating,Water Heater T1Q,1.996,0.559
2025-09-11T12:45,lighting,Tube Light Y6B,0.226,0.063
2025-09-11T13:00,electronics,CNC Controller XQ8,0.411,0.115
2025-09-11T13:30,electronics,Workstation A6S,1.185,0.332
2025-09-11T15:45,electronics,Router 2SU,0.623,0.174
2025-09-11T16:30,appliances,Dishwasher JRB,0.988,0.277
2025-09-11T18:00,cooling,Cooling Unit MXV,3.119,0.873
2025-09-11T21:00,cooling,Evaporator 5O1,1.835,0.514
2025-09-11T21:00,lighting,Tube Light BQV,0.447,0.125
2025-09-12T04:30,heating,HVAC N2C,5.034,1.41
2025-09-12T06:15,lighting,Street Light FSU,0.238,0.067
2025-09-12T06:30,heating,HVAC 5D7,1.375,0.385
2025-09-12T07:30,heating,Heat Pump DTR,2.613,0.732
2025-09-12T08:30,heating,Boiler FI4,0.947,0.265
2025-09-12T09:15,cooling,Vent Fan 0FZ,4.408,1.234
2025-09-12T10:30,appliances,Refrigerator LHG,0.13,0.036
2025-09-12T11:00,electronics,IoT Gateway N6M,0.567,0.159
2025-09-12T12:45,lighting,Street Light FS6,0.195,0.055
2025-09-12T14:00,appliances,Coffee Machine FEA,0.736,0.206
2025-09-12T18:00,heating,Radiator XDI,1.988,0.557
2025-09-12T18:15,electronics,Workstation FUF,0.323,0.09
2025-09-12T19:15,heating,HVAC 6YU,1.427,0.4
2025-09-12T19:15,appliances,Coffee Machine TPC,1.383,0.387
2025-09-12T19:30,appliances,Coffee Machine O9M,0.202,0.057
2025-09-12T19:45,cooling,Vent Fan 3XL,1.173,0.328
2025-09-12T20:45,cooling,Chiller TWV,2.672,0.748
2025-09-12T20:45,appliances,Washer 683,2.023,0.566
2025-09-12T22:00,electronics,Workstation HJA,0.42,0.118
2025-09-12T23:15,cooling,Evaporator Z5T,2.034,0.57
2025-09-12T23:45,cooling,Vent Fan I25,1.266,0.354
2025-09-13T00:15,heating,Radiator ZGB,1.784,0.5
2025-09-13T02:00,appliances,Washer FDZ,1.622,0.454
2025-09-13T04:15,lighting,Street Light OT1,0.091,0.025
2025-09-13T06:15,appliances,Vending Machine YKZ,0.101,0.028
2025-09-13T09:45,appliances,Microwave VF8,0.146,0.041
2025-09-13T13:00,cooling,Cooling Unit 6U8,1.349,0.378
2025-09-13T14:45,lighting,Street Light DF2,0.745,0.209
2025-09-13T15:15,electronics,Monitor CWZ,0.853,0.239
2025-09-13T17:00,cooling,Evaporator GJ9,2.275,0.637
2025-09-13T18:15,heating,Boiler CO9,3.091,0.865
2025-09-13T18:30,lighting,Street Light N4O,0.412,0.115
2025-09-13T19:00,electronics,CNC Controller IYN,0.391,0.109
2025-09-13T19:45,heating,HVAC 1C5,3.191,0.893
2025-09-14T00:15,cooling,Cooling Unit JF1,3.612,1.011
2025-09-14T01:30,electronics,Router 4IQ,0.535,0.15
2025-09-14T01:45,heating,Radiator NNG,4.74,1.327
2025-09-14T02:15,heating,Water Heater KZD,0.904,0.253
2025-09-14T03:15,electronics,Monitor AE8,1.198,0.335
2025-09-14T04:00,heating,Radiator 2WW,5.655,1.583
2025-09-14T04:30,appliances,Microwave MJE,1.407,0.394
2025-09-14T11:30,heating,Heat Pump 486,1.816,0.508
2025-09-14T18:30,appliances,Microwave 2L3,0.559,0.157
2025-09-15T03:45,lighting,Track Light P5N,0.746,0.209
2025-09-15T05:30,appliances,Microwave XND,2.014,0.564
2025-09-15T06:45,cooling,AC Unit TDD,3.616,1.012
2025-09-15T07:15,electronics,Monitor N2A,0.874,0.245
2025-09-15T10:30,heating,Boiler 5ZS,2.351,0.658
2025-09-15T11:00,heating,HVAC I09,5.424,1.519
2025-09-15T12:00,heating,HVAC 612,2.623,0.734
2025-09-15T14:30,heating,HVAC X7O,3.99,1.117
2025-09-15T20:45,cooling,Vent Fan 7C9,2.193,0.614
2025-09-15T22:15,heating,Radiator I4Q,5.917,1.657
2025-09-15T23:45,appliances,Dishwasher 7X1,2.329,0.652
2025-09-15T23:45,lighting,Panel Light 5CH,0.729,0.204
2025-09-16T02:30,appliances,Washer F0Y,1.003,0.281
2025-09-16T03:15,appliances,Dishwasher 338,2.331,0.653
2025-09-16T03:15,electronics,Monitor 33G,0.978,0.274
2025-09-16T03:30,heating,HVAC LSG,5.429,1.52
2025-09-16T04:30,electronics,Monitor 2M0,0.188,0.053
2025-09-16T04:45,appliances,Dishwasher 967,2.218,0.621
2025-09-16T10:15,heating,HVAC RKB,5.901,1.652
2025-09-16T13:00,heating,Water Heater 72L,3.88,1.086
2025-09-16T13:00,cooling,Cooling Unit EOX,3.614,1.012
2025-09-16T13:00,lighting,Panel Light 3AD,1.05,0.294
2025-09-16T13:00,lighting,Street Light U99,1.151,0.322
2025-09-16T13:30,lighting,Track Light 91N,0.251,0.07
2025-09-16T16:15,heating,Water Heater HG4,1.422,0.398
2025-09-16T17:30,appliances,Washer HWZ,0.73,0.204
2025-09-16T18:30,appliances,Refrigerator GCN,2.211,0.619
2025-09-16T20:15,electronics,IoT Gateway GDJ,1.582,0.443
2025-09-17T00:00,electronics,Switch DEL,0.749,0.21
2025-09-17T00:30,lighting,Downlight GQK,0.671,0.188
2025-09-17T03:15,heating,Water Heater Y0S,5.23,1.464
2025-09-17T03:30,electronics,3D Printer 53D,0.378,0.106
