name,type,powerRating,location,status,energyConsumption,notes
Vent Fan 0OX,cooling,300,Warehouse B,inactive,22.727,
Tube Light U73,lighting,100,East Wing,active,4.356,New installation
Water Heater WKJ,heating,2000,Conference 1,active,125.887,
Switch FZN,electronics,450,Warehouse B,active,33.862,Check wiring
HVAC Z0X,heating,1500,Conference 1,active,25.984,
Vending Machine X92,appliances,350,Reception,active,13.118,
CNC Controller PAC,electronics,450,Cafeteria,active,26.534,New installation
IoT Gateway 2BA,electronics,450,Manufacturing Line 1,active,21.913,High usage device
Vent Fan 81M,cooling,1200,Main Office,inactive,37.69,
Washer 9D0,appliances,120,Main Office,active,4.89,
Monitor KQ5,electronics,600,Cafeteria,active,26.391,
Router 3V7,electronics,450,Server Room,active,7.824,
Radiator EZQ,heating,1500,Cafeteria,active,88.058,Scheduled for maintenance Q4
Radiator V2L,heating,3000,West Wing,active,16.346,Scheduled for maintenance Q4
Vent Fan UVW,cooling,900,North Wing,active,15.29,
IoT Gateway BWF,electronics,45,Reception,inactive,1.385,Legacy unit
Vending Machine 0Z1,appliances,350,Manufacturing Line 1,active,24.499,
Router TNJ,electronics,300,North Wing,inactive,18.703,
Washer KGW,appliances,80,Reception,active,5.227,
Evaporator UNG,cooling,1200,R&D Lab,inactive,27.383,
Dishwasher JTQ,appliances,120,South Wing,active,5.611,
AC Unit GB7,cooling,1200,Server Room,inactive,94.552,
Street Light P8M,lighting,80,Reception,active,2.304,
Boiler E3N,heating,1500,Warehouse B,active,74.684,High usage device
CNC Controller AWC,electronics,45,Conference 2,active,3.473,Legacy unit
Workstation W6C,electronics,300,Server Room,active,22.927,
Evaporator VH9,cooling,1200,Conference 1,active,76.329,
Water Heater RF8,heating,1500,Roof,active,91.321,
Refrigerator L0U,appliances,900,Conference 2,active,68.605,
Vent Fan K3H,cooling,2000,East Wing,inactive,62.647,
Evaporator YZ5,cooling,1200,Warehouse A,active,23.664,
HVAC OSM,heating,2000,East Wing,inactive,80.015,
Coffee Machine OSZ,appliances,120,Parking Level -1,active,0.934,
Boiler 20M,heating,2000,East Wing,inactive,66.685,
Track Light AW0,lighting,18,Conference 2,active,0.754,New installation
Downlight FDI,lighting,12,Conference 2,active,0.248,
Boiler LLF,heating,1200,South Wing,inactive,94.577,Legacy unit
AC Unit YYV,cooling,2000,Conference 2,active,156.179,High usage device
3D Printer M04,electronics,450,Manufacturing Line 1,active,7.788,
Microwave 57M,appliances,500,Manufacturing Line 1,active,21.503,
Switch CZD,electronics,300,Roof,active,10.765,
Chiller SJ6,cooling,1200,Cafeteria,active,71.51,
AC Unit P2N,cooling,1600,Warehouse A,inactive,35.633,
Chiller Y6Y,cooling,1600,Conference 1,active,61.896,
Radiator LAA,heating,2000,Parking Level -2,active,70.701,
Water Heater RL2,heating,800,Manufacturing Line 1,active,4.046,
AC Unit 7N4,cooling,1200,North Wing,inactive,71.157,
Tube Light I1Q,lighting,48,Admin Wing,active,2.673,
Floodlight 7VZ,lighting,36,Reception,active,0.385,
Vent Fan F0M,cooling,1600,Server Room,active,19.022,
IoT Gateway MID,electronics,45,Conference 2,active,1.257,
